Head_gene_symbol	Head_gene_breakpoint	Tail_gene_symbol	Tail_gene_breakpoint
THEM4	151861849	OPA3	46051032
TIMM23	51606988	BMS1P4	75473090
TLK2	60637486	AL137655	141452
TLK2	60637486	AX747598	90195030
TLK2	60637486	FAM157A	197907625
TLK2	60637486	LOC731275	243219615
TNFRSF1A	6443410	SCNN1A	6457237
TP53RK	45313034	SLC13A3	45298777
USP22	20905366	LOC389791	130892016
WSB1	25633908	WHSC1	1981238
XAF1	6665474	NINL	25442158
ZDHHC11	850717	BRD9	878470
ZNF18	11898875	TPRKB	73959412
ZNF664	124488087	FAM120AOS	96209979
ZNF783	148975618	LOC155060	148984656
A2M	9220807	PIP5K1P1	7990483
A2M	9220434	SRPK1	35836807
ACACA	35716058	IKZF3	37921198
ACACA	35687113	IKZF3	37934020
ACTG1	79479156	ACTBL2	56778395
ADAM12	127705505	CD63	56120493
AKAP13	86290605	LYPLA1	54958960
ALOXE3	8020126	PGC	41704736
ATAD3A	1458201	TKT	53264496
ATP5G1	46973137	SEMA3B	50314233
BC070061	80023100	HMGN3	79910961
BC110832,LOC728855	149576699	BC065231	145004780
C1orf201	24683728	NAPSA	50864389
C3	6678034	ADAM19	156947014
C3	6684399	ARRDC2	18119520
C3	6685146	ATP13A5	193068972
C3	6682170	FBN2	127680099
C3P1	10158106	SFTPB	85892418
CCDC147	106113655	CD63	56119659
CD59	33744182	COL7A1	48623851
CD63	56120961	MFHAS1	8749911
CDK11B	1572812	NAPSA	50863115
CDRT4	15343599	FAM18B2	15406412
CES1P1	55794605	CES1	55862883
CLCC1	109473386	PSPH	56079562
CLCC1	109482735	SFTPB	85894802
CLDN7	7165985	SFTPB	85889179
CMIP	81735403	SFTPB	85888577
CPS1	211457653	SCRN1	29962664
CRY2	45880371	SFTPB	85894240
CTBS	85028940	GNG5	84967653
cytochrome_b	15887	CANX	179153680
cytochrome_b	15887	MYH9	36677322
cytochrome_b	15887	WDR48	39133115
E2F2	23834159	CLU	27457508
EIF3D	36907559	IBSP	88727336
ENO1	8922980	ARHGAP30	161024470
ENO1	8923952	EDARADD	236647530
FAM53B	126308766	SFTPB	85892900
FBXL20	37459847	C3	6679418
FGF2	123817812	EIF3E	109240496
FGFR2	123357786	LRCH4	100175465
FLJ39739	147931979	BC065231	145004780
FN1	216229688	ZSCAN12	28359450
GPBP1	56559089	RPL30	99054977
GSK3B	119544631	PGC	41705561
H3F3B	73773741	IL17RA	17592329
HLA-A	29913036	HLA-B	31322277
HLA-A	29912393	HLA-C	31237302
HLA-C	31237743	HLA-B	31322442
HLA-E	30460539	HLA-C	31236936
HLA-F	29693320	HLA-C	31237762
HLA-J	29974842	HLA-B	31324468
HRH3	60791579	GTPBP6	230884
HSD3B7	30997006	SFTPB	85893745
INSC	15267967	MALAT1	65269909
KARS	75662467	RTN4	55199552
KHNYN	24900026	SFTPB	85890602
KRT13	39657413	MALL	110845176
LOC100128675	35564586	LRCH4	100175465
LOC100132247	22525241	NPIP,LOC339047	18451950
LOC100132247	22525241	NPIP,PKD1P1	16429717
LOC100286793	143744586	BC065231	145004780
LOC100288069	703993	LOC731275	243255343
LOC644961	27652880	ACTG1	79477135
MAML2	96074593	PGC	41711121
MAP3K3	61723433	PECAM1	62396776
MAP3K3	61723434	PECAM1	62401205
MAVS	3851553	CFI	110663647
MGAT5B	74936930	SFTPB	85888584
MLL	118376940	COL1A1	48263166
MLPH	238462209	KIAA1143	44793661
MLPH	238428623	PGC	41711125
MRVI1	10673729	TNFRSF1A	6440091
MTHFR	11847667	PRDX1	45981326
MUC1	155160043	SP140	231101915
MYCL1	40361689	MGP	15035203
MZF1	59082577	PGC	41707551
NAIP	70282272	OCLN	68830520
NAPSB	50837337	NAPSA	50862017
NCRNA00188	16345227	CHMP4C	82644871
NKX2-1	36988190	SFTA3	36960496
NKX2-2	21494062	TM4SF1	149093231
NUMA1	71724719	HLA-C	31237270
OBSCN	228467028	SFTPB	85893848
ODC1	10581830	PPM1B	44458477
PCDH15	55564680	MYH11	15797781
PEX10	2337038	PECAM1	62407082
PGC	41710035	HOXA11	27222562
PGC	41712147	LRRCC1	86025334
PGC	41711127	NTRK2	87426883
PHF21A	45954669	NAPSA	50864382
PMF1	156209384	C3	6680197
PMS2P3	75145043	PRKRIP1	102038067
PPARGC1B	149231003	BRD2	32943164
PRDX2	12910991	SFTPB	85894825
PTPRO	15734620	PTPRB	70928729
RAP1GAP	21940562	SARM1	26725124
RBM23	23370597	FLJ44635	71364341
RNF187	228681925	GCN1L1	120575770
RPL14	40503531	GABBR2	101470920
RPS15A	18796145	LMX1B	129460297
RPTOR	78519590	GAA	78081355
RPTOR	78519591	GAA	78081356
RRP7A	42914072	ASAH1	17928810
RSPH6A	46308058	NCL	232319958
S100A6	153507707	PAPPA2	176640136
S100A6	153507695	RUFY2	70143586
S100A6	153507302	SIPA1L3	38652969
S100A6	153507831	TNS1	218712828
SCNN1A	6458571	KIAA0247	70180489
SCNN1A	6457237	TNFRSF1A	6443410
SEPT7P2	45808616	CO9	55840871
SEPT7P2	45808616	PSPH	56078743
SFPQ	35649805	FXYD5	35660746
SFTA3	36946176	LOC147727	10764184
SFTA3	36960496	NKX2-1	36988673
SFTPB	85885958	AMOTL2	134090083
SFTPB	85888631	ATP6V0D2	87165747
SFTPB	85889207	C3orf62	49308735
SFTPB	85890953	C9orf117	130471906
SFTPB	85888577	CCT6A	56123354
SFTPB	85889175	COL9A1	70944502
SFTPB	85894243	DNAH5	13901409
SFTPB	85890469	DYRK1A	38886501
SFTPB	85889207	FAM159B	63986334
SFTPB	85892730	GPAT2	96690230
SFTPB	85888636	GSX2	54966342
SFTPB	85895259	HNF4A	43052793
SFTPB	85890489	IRAK2	10280704
SFTPB	85888646	KIAA0368	114148677
SFTPB	85892499	NUP153	17648125
SFTPB	85892478	PCA3	79399470
SFTPB	85892734	SSPO	149499194
SFTPB	85892499	TNFRSF21	47277239
SFTPB	85888583	TTN	179560925
SHD	4280182	EDF1	139757743
SLC1A2	35338990	SFTPB	85892900
SMG7	183521919	AGR2	16841427
STAT6	57492331	SFTPB	85892474
STK32C	134059437	SFTPB	85893745
SV2A	149883513	C3	6681954
TATDN2	10302021	CGGBP1	88104156
THEM4	151861849	OPA3	46051032
TLK2	60637486	AL137655	141452
TLK2	60637486	AX747598	90195030
TLK2	60637486	FAM157A	197907625
TLK2	60637486	LOC100288069	700244
TLK2	60637486	LOC731275	243219615
TM4SF1	149089650	LAMC3	133901832
TMED9	177022354	AQP3	33443890
TNFRSF1A	6439444	ANKRD12	9256012
TNFRSF1A	6443410	SCNN1A	6457237
TSNAX-DISC1,DISC1	231838232	SFTPB	85893740
UBC	125398293	THSD7B	138373784
USP8	50773783	ASAH1	17927320
WBP2NL	42423160	PGC	41705490
WFIKKN2	48916980	SFTPB	85894262
WSB1	25633908	WHSC1	1981238
YBX1	43162331	MUC1	155162073
ZNF331	54025079	SFTPB	85888650
A2M	9268360	PZP	9356547
ACAD8	134133627	GLB1L3	134145080
ACBD6	180257578	EEF2	3980965
ACTG1	79479160	C19orf29	3612364
AHDC1	27875578	EEF1A1	74227879
AKAP13	86290605	LYPLA1	54958960
ANO1	69972167	NAPSA	50865348
ARHGAP27	43483449	SH3D20	43506989
ARIH2	48960244	TFDP2	141667914
ARPC4	9845697	TTLL3	9852305
ATP1A2	160112945	C4BPA	207277766
AZGP1	99569369	GJC3	99521226
BRIP1	59757862	GARS	30634327
C15orf52	40629634	ERV3	64453792
C1R	7241216	RPRD1A	33570477
C4BPA	207277775	LMAN2L	97373562
CCT3	156280972	CLTCL1	19175498
CD44	35226064	CDK6	92235759
CD59	33744182	COL7A1	48623851
CD74	149786887	C9orf150	12775627
CDH23	73574724	SNHG5	86387577
CDRT4	15343599	FAM18B2	15406412
CEMP1	2581160	NAPSA	50862898
CHTF8	69152149	GNB2L1	180668625
CLCC1	109473386	PSPH	56079562
COX5B	98263810	CD74	149782178
CREB1	208462170	HLA-DRB6	32520848
CRY2	45880371	SFTPB	85894240
CSMD2	33981730	SFTPB	85894284
CTSD	1782547	CHMP4B	32436406
CTSD	1776244	PTGR2	74318566
DGAT2	75507388	PRODH	18901020
DGKD	234378034	CD74	149782141
DHRS3	12638959	CCDC48	128755861
DICER1	95553547	AGR2	16832580
DRAM1	102291641	SCARB2	77080750
DYRK1A	38884410	PRODH	18910349
EEF1DP3	32520318	FRY	32652971
EEF2	3980684	ACTN4	39216502
EEF2	3980854	ARHGEF26	153839291
EEF2	3982270	GNB2L1	180670713
EEF2	3979353	MYH9	36684361
EEF2	3983289	NR1I2	119534265
EIF3D	36907559	IBSP	88727336
EIF3E	109226941	ELF4	129199141
EIF4G2	10821661	FMN1	33064267
ENO1	8923952	EDARADD	236647530
EPOR	11491645	SFTPB	85894926
EZR	159188056	RPL8	146017377
F2RL3	17001190	RPL14	40503522
FGF2	123817812	EIF3E	109240496
FRG1B	29612100	FRG1	190861973
GLRX3	131977684	C2orf3	75890982
GNB2L1	180669323	WIPI2	5272229
GP5	194117805	CD74	149786732
HIF3A	46845187	RRP7B	42972594
HLA-A	29910802	HLA-H	29855731
HLA-C	31237743	HLA-B	31322442
HLA-DQA2	32713183	HLA-DQA1	32609086
HLA-DQB1	32634465	HLA-DQB2	32723874
HLA-DQB1	32629747	NDRG1	134249567
HLA-E	30460539	HLA-C	31236936
HLA-G	29796342	HLA-C	31239104
HLA-H	29856519	HLA-C	31238262
HRH3	60791579	GTPBP6	230884
IGKV	89197300	abParts,Ig_kappa	89156708
INHBB	121106769	LPCAT1	1483559
ITGB6	160994351	CUL4B	119670853
KAT5	65480509	NAPSA	50865254
KCNK2	215179023	SFTPB	85892917
KDM5A	432880	PDXDC1	15130323
KIF21B	200969867	TPT1	45914892
KRT16P3	20405283	KRT14	39739487
LAMB3	209811326	OSBPL11	125282576
LMNA	156100465	EEF2	3979353
LOC100128675	35564586	LRCH4	100175465
LOC100288069	703993	LOC731275	243255343
LOC644961	27652880	ACTG1	79477135
LOC728855	149576699	BC065231	145004780
LOC731275	243223721	FLJ45340	128288846
LOC96610	22677019	MIR650	23165360
LRRC56	552635	NAPSA	50864198
LSM4	18417937	SFTPB	85892499
MED15	20861963	RPL8	146017525
METRNL	81052255	HLA-B	31324209
MUC1	155160043	SP140	231101915
MYCL1	40361689	MGP	15035203
MYH9	36690200	FLNA	153580048
MZT2B	130939564	GNB2L1	180665120
NACA	57107349	TXNRD1	104645393
NAIP	70282272	OCLN	68830520
NAPSA	50864394	BACH1	30724072
NAPSA	50862904	MIOX	50925333
NAPSA	50862017	NCS1	132995462
NAPSB	50837564	NAPSA	50862037
NCL	232325386	MYST3	41800368
NCRNA00188	16345227	CHMP4C	82644871
NKX2-1	36988190	SFTA3	36960496
NKX2-2	21494062	TM4SF1	149093231
NRBP1	27656121	PRRC2A	31599178
NUMA1	71724719	HLA-C	31237270
OBSCN	228475435	EEF2	3979353
PARN	14680215	INMT	30795997
PEX10	2337038	PECAM1	62407082
PIGR	207107775	ASB11	15311292
PIGR	207105811	C17orf82	59490049
PIGR	207105137	C9orf131	35044240
PIGR	207102905	NUFIP2	27586605
PIGR	207104842	ZDHHC6	114206553
PKD1	2153267	PKD1P1	16422508
PLIN4	4502536	CTSB	11706577
POLD1	50905138	GNB2L1	180665120
PPARGC1B	149231003	BRD2	32943164
PRDX2	12910991	SFTPB	85894825
PRODH	18905984	ADAMTSL2	136419710
PRODH	18907291	UHRF1BP1	34760064
PYCR2	226108305	MGP	15035909
RBM15	110883591	TXNIP	145441837
RBM23	23370597	FLJ44635	71364341
RCOR2	63681591	EEF2	3980537
REEP6	1497890	RPS23	81573651
RPS15A	18796145	LMX1B	129460297
RPS25	118888762	BCL2L1	30310611
RSPH6A	46308058	NCL	232319958
S100A6	153507692	DCTN1	74595238
S100A6	153507687	GPR124	37697721
S100A6	153507823	NOXO1	2031187
S100A6	153507692	TBC1D21	74180854
SCNN1A	6457235	TNFRSF1A	6443410
SELENBP1	151337164	ADD2	70902542
SERPIND1	21140404	CD74	149785847
SFPQ	35649805	FXYD5	35660746
SFTA3	36946176	LOC147727	10764184
SFTA3	36960496	NKX2-1	36988190
SFTPB	85888650	BTNL8	180377281
SFTPB	85889207	C3orf62	49308735
SFTPB	85888577	CCT6A	56123354
SFTPB	85894240	EEF1A1	74229615
SFTPB	85895259	HNF4A	43052793
SFTPB	85893860	NCRNA00116	110972399
SFTPB	85892499	NUP153	17648125
SFTPB	85888650	PASK	242065882
SFTPB	85889167	POLM	44119516
SFTPB	85892734	SSPO	149499194
SFTPB	85889232	TAF8	42048463
SFTPB	85885978	TMEM203	140098812
SFTPB	85892499	TNFRSF21	47277239
SFTPB	85894243	TRIM42	140407174
SFTPB	85890614	TRIP12	230701659
SFTPB	85888583	TTN	179560925
SFTPB	85892752	VWA5B2	183958703
SLC25A16	70243177	DNA2	70231642
SLC34A2	25678537	GPR98	90049605
SPEG	220355292	TKT	53262100
SRSF10	24294097	SFTPB	85885958
ST5	8751765	PRODH	18912713
STK24	99114028	CCDC25	27610095
TAF1D	93469307	ACVR1C	158386467
TARBP1	234529578	HERC2P3	20659215
TATDN2	10302021	CGGBP1	88104156
TEKT5	10721425	ACTG1	79477972
TFPI2	93518517	ALG13	110924521
TFPI2	93519924	PHEX	22266133
THUMPD3	9427607	GNL3L	54589101
TIMM23	51606988	BMS1P4	75473090
TLK2	60637486	AX747598	90196204
TLK2	60637486	FAM157A	197908797
TLK2	60637486	LOC100288069	700244
TLK2	60637486	LOC731275	243219615
TM4SF1	149089650	LAMC3	133901832
TMTC2	83290238	TFPI2	93518359
TPT1	45914918	APOC1	45419550
TPT1	45914301	NEFH	29886522
UAP1	162560301	RAPGEF4	173916867
UBXN1	62444102	C16orf5	4562555
USP8	50773783	ASAH1	17927320
VIPR1	42576553	HLA-DRB1	32546872
WDR18	991311	GNB2L1	180669181
WDR88	33642181	GNB2L1	180664716
ZNF664	124488087	FAM120AOS	96209979
ZNF783	148975618	LOC155060	148984656
A2M	9232235	PZP	9312621
abParts	107283084	OK/SW-cl.16	7586
AD_1	10404	PMM2	8895655
ADCK4	41197496	NUMBL	41192899
ADIG	37214731	CD74	149784259
ANXA5	122590778	KIAA0087	26576487
ANXA5	122599056	USP20	132640625
ATP4A	36041443	SPINK1	147207666
AXL	41765960	MBIP	36783942
BC018860	7426	STRF6	10472
BC070061	80023100	HMGN3	79910961
BC110832,LOC728855	149576699	BC065231	145004780
BCRP3	25029409	USP18	18659538
BRIP1	59757862	GARS	30634327
BSN	49700563	HLA-DPA1	33037418
C14orf105	57948371	UBR7	93678393
C17orf81	7155773	LSR	35758280
C1orf216	36180710	GNB2L1	180668500
C20orf12	18365133	SPINK1	147209176
CCDC85A	56420465	HNRNPA2B1	26232180
CD59	33744182	COL7A1	48623851
CD63	56120961	MFHAS1	8749911
CD63	56120484	TSPAN12	120446746
CD63	56120023	TUBGCP4	43697902
CD74	149786451	XKR5	6668806
CDH23	73567509	A2M	9220807
CHD3	7810944	LSR	35758272
CIB1	90774252	SIGLEC7	51649218
CMKLR1	108714397	HNRNPA2B1	26233288
CTSD	1782547	CHMP4B	32436406
CTSH	79215340	FKBP7	179329885
CTSH	79223837	TRRAP	98506511
cytochrome_b	15887	GTF2IP1,LOC100093631	74601105
DCAF11	24593285	RTN4	55200035
DCHS2	155411418	GNB2L1	180664016
DDX6	118622057	CD74	149782167
DGAT2	75507388	PRODH	18901020
DICER1	95553547	AGR2	16832580
EBNA1BP2	43637938	HEXA	72636481
EHBP1L1	65349483	OST4	27293574
EIF3D	36907559	IBSP	88727336
ENO1	8923952	EDARADD	236647530
ENO1	8923004	SRF	43147492
FBL	40325177	ABCD1	153001859
FBL	40328466	IKBKG	153792199
FGFR2	123357786	LRCH4	100175465
FLJ39739	147931979	BC065231	145004780
FLOT1	30697941	NEFM	24771529
FMO4	171300888	SPINK1	147209176
HAP1	39880510	CD74	149782167
HLA-A	29913036	HLA-B	31322277
HLA-C	31237302	HLA-B	31322884
HLA-F	29693320	HLA-B	31322903
HLA-H	29856000	HLA-B	31321648
HLA-H	29858241	HLA-B	31322277
JA040725	15887	TVAS5	1755
KARS	75662467	RTN4	55199552
LOC100286793	143744586	BC065231	145004780
LOC554223	29760482	HLA-H	29855731
LOC645513	120381396	CO9	55840871
LOC645513	120376287	PSPH	56078743
LRBA	151682969	GPC3	132887525
LSM4	18417937	SFTPB	85892499
MBIP	36781225	VTA1	142510565
MCRS1	49953734	ECH1	39306356
MCTP1	94288991	HNRNPH1	179044639
METRNL	81052255	HLA-B	31324209
MGP	15035195	ADAMTSL2	136432145
MMP15	58060147	HLA-B	31324872
MTND5	14148	TVAS5	1755
MUC1	155162577	ARHGEF15	8222332
MUC1	155160654	DOK6	67515225
MUDENG	57746933	SPINK1	147209162
NCL	232325386	MYST3	41800368
NCRNA00277	69387411	GPC3	132730616
NCRNA00284	44603142	TSIX	73042051
NDUFA11	5891843	SPINK1	147209178
NRD1	52266238	LRRC17	102575068
PANX2	50618665	CD74	149784657
PGR	100901505	RPS20	56986718
PKD1	2153267	PKD1P1	16422508
PRDX2	12910991	SFTPB	85894825
PRKAB1	120118582	SPINK1	147211093
PRODH	18905984	ADAMTSL2	136419710
PSG1	43372201	SPINK1	147209193
PTPRVP	202155725	SPINK1	147211093
RAP1GAP	21940562	SARM1	26725124
RBM15B	51430608	SPINK1	147207691
RBM23	23370597	FLJ44635	71364341
RPL29P2	7658070	RPL29	52027861
RPP38	15145522	MBIP	36770028
RSPH6A	46308058	NCL	232319958
S100A6	153507678	COPE	19014223
S100A6	153507819	KDM4B	5151563
S100A6	153507710	SPR	73118558
S100A6	153507682	TINF2	24710893
SCNN1A	6457893	TNFRSF1A	6443410
SFPQ	35649805	FXYD5	35660746
SFTA3	36960496	NKX2-1	36988673
SFTPB	85895259	HNF4A	43052793
SLC35E2B	1601103	SLC35E2	1666274
SPINK1	147204265	ARL4A	12727899
SPINK1	147209174	GRM4	34101269
SPINK1	147209165	TAS2R38	141672825
SPOCD1	32264102	ASAH1	17927387
SYT14	210187078	SPINK1	147207586
TARBP1	234529578	HERC2P3	20659215
TDP2	24650437	AGR3	16900205
TK2	66545949	GPC3	132887509
TLK2	60637486	AL137655	141452
TLK2	60637486	AX747598	90195030
TLK2	60637486	FAM157A	197907625
TLK2	60637486	LOC100288069	700244
TLK2	60637486	LOC731275	243219615
TMED9	177022354	AQP3	33443890
TOB1	48939782	SFTPB	85886294
TPCN1	113736004	P4HB	79805130
UBXN11	26609369	ACADSB	124813790
UNC5B	73060071	ANXA5	122590757
VRTN	74826426	SFTPB	85888650
WSB1	25633908	WHSC1	1981238
XAF1	6665474	NINL	25442158
ZNF492	22846761	SPINK1	147207685
ZNF783	148975618	LOC155060	148984656
A2M	9243815	PZP	9317752
ACAD8	134133627	GLB1L3	134145080
ACTG1	79479133	ACTB	5568995
ADAP2	29286025	RNF135	29311638
ADSL	40762503	SGSM3	40796701
ARHGAP27	43483449	SH3D20	43506989
ARHGEF5	144074283	OR2A4	132022545
ARPC4	9845697	TTLL3	9852305
B4GALT5	48330420	ADNP	49506882
B4GALT5	48263502	ADNP	49518646
B4GALT5	48263502	ADNP	49518646
B4GALT5	48263501	ADNP	49518645
BC070061	80023100	HMGN3	79910961
C1orf186	206288105	PSORS1C3	31145676
CCDC176	74500873	MTA1	105914876
CDRT4	15343599	FAM18B2	15406412
CLK2	155239298	CLK2P	23625797
CTBS	85028940	GNG5	84967653
CYP2B7P1	41454958	MGC2752	59093879
cytochrome_b	15887	abParts	105994255
EEF1DP3	32520318	FRY	32652971
EEF1DP3	32520318	FRY	32652971
IGLV1-40	22764609	IGLL5	23235959
IGLV3-27	23011144	IGLL5	23237554
ERI2	20814992	ZNF737	20721147
FRG1B	29614261	LOC100132352	68726979
GPR39	133175495	LYPD1	133402673
HLA-A	29912174	HLA-B	31323000
HLA-C	31237276	HLA-B	31322417
HLA-DQB1	32634465	HLA-DQB2	32723874
HLA-G	29795852	HLA-B	31324707
HLA-H	29856000	HLA-A	29910533
HLA-H	29855732	HLA-B	31324863
HSD17B12	43877445	LOC100272146	45502552
IDS	148582568	LOC100131434	148610904
JOSD1	39083320	C6orf132	42096410
LDLRAP1	25894479	C22orf45	24825667
LOC100132247	22525241	NPIP,LOC339047	18451950
LOC100132247	22525241	NPIP,PKD1P1	16429717
LOC100288069	703964	LOC731275	243254868
LOC402778	1769349	CTSD	1775033
LOC440434	36351940	DHX40P1	58096306
LOC613037	30238630	PDXDC2P	70012015
LOC644961	27652880	ACTG1	79477135
LOC645513	120376287	PSPH	56078743
LOC728855	149576699	BC065231	145004780
LOC731275	243223721	FLJ45340	128288846
LOC731275	243265045	LOC399744	38717073
LOC731275	243245422	NCRNA00265	39807009
MED13L	116714990	DDX11L10	61554
MED13L	116675273	DDX11L10	61691
MED13L	116714990	DDX11L5	11986
MED13L	116675273	DDX11L5	12123
MED13L	116714990	DDX11L9	102516760
MED13L	116675273	DDX11L9	102519160
METTL7A	51324509	FAM157A	197894547
NAIP	70282272	OCLN	68830520
NAPSA	50865244	CIZ1	130941012
NBPF15	148558286	LIMD1	45721826
NCOR1	15933514	KLHL2	166243184
NCOR2	124904503	EP400	132547082
NDUFA3	54610118	PNMA2	26363247
NHEG1	137314311	COL28A1	7557468
NKX2-1	36988671	SFTA3	36960496
NOS1AP	162336994	C1orf226	162351681
NPIPL1	29415808	LOC100132247	22535140
NPIP	15035796	LOC613037	30234349
NPIP	15044112	PDXDC2P	70011486
OCLN	68830521	NAIP	70275696
PARN	14680215	INMT	30795997
PDXDC2P	70076905	LOC100132247	22535140
PDXDC2P	70076905	LOC613037	30234349
PI4KAP1	20385808	PI4KA	21064279
PKD1	2153267	PKD1P1	16422508
PLEKHM1	43553068	PLEKHM1P	62818486
PMS2P3	75145043	PRKRIP1	102038067
PRPF3	150305155	ASB6	132398545
PRPF3	150305157	LOC349408	12924369
PTAFR	28475135	SFTPB	85885807
RAB1A	65325199	STAT1	191858098
RBAK	5087722	PMS2CL	6774936
RBM25	73538455	CHST6	75508066
RRP7A	42912017	RRP7B	42973104
SCNN1A	6457235	TNFRSF1A	6443408
SEPT7P2	45808616	CO9	55840871
SEPT7P2	45808616	PSPH	56078743
SEPT7P2	45808259	PSPH	56088924
SFT2D2	168212307	TBX19	168260398
SFTA3	36960496	NKX2-1	36988673
SFTA3	36946176	TYK2	10490365
SLC35A3	100483371	HIAT1	100515465
SLC35E2B	1599911	L2HGDH	50712697
SLC35E2B	1601103	SLC35E2	1666274
THEM4	151861849	OPA3	46051032
TIMM23B	51387763	LINC00843	51732772
TIMM23	51606988	BMS1P4	75473090
TLK2	60637486	LOC731275	243219615
TM2D1	62160369	TRMT5	61440368
TNFAIP8L2	151129198	SCNM1	151138947
TPTE2P2	52846225	LOC151009	111141892
WDR66	122437622	LOC284232	19410813
YY1AP1	155646423	C3	6678167
ZDHHC11	850717	BRD9	878470
ZNF18	11898875	TPRKB	73959412
ZNF664	124488087	FAM120AOS	96209979
ZNF783	148975618	LOC155060	148984656
ADSL	40762503	SGSM3	40796701
AK024248	119529876	LOC399744	38717073
ARIH2	48964895	HAVCR2	156513534
ARPC4	9845697	TTLL3	9852305
AURKA	54963258	LOC401588	46407053
CDRT4	15343599	FAM18B2	15406412
CLK2	155239298	CLK2P	23625797
CTBS	85028940	GNG5	84967653
DIAPH1	140907981	FGF1	142077186
IGLV1-44	22735711	IGLL5	23235959
IGLV1-40	22764609	IGLL5	23235959
IGLV1-36	22786798	IGLL5	23235959
IGLV2-14	23101695	IGLL5	23235960
ERI2	20814992	ZNF737	20721147
GNG5	84967653	CTBS	85028940
HLA-A	29913036	HLA-B	31322277
HLA-B	31324988	HLA-A	29911044
HLA-B	31324988	HLA-F	29691434
HLA-C	31237277	HLA-B	31322416
HLA-DQB1	32634465	HLA-DQB2	32723874
HLA-DRB1	32557612	HLA-DPB1	33048448
HLA-E	30460539	HLA-C	31236936
HLA-F	29691703	HLA-B	31238849
HLA-H	29856000	HLA-A	29910533
HLA-H	29856519	HLA-B	31323369
HLA-H	29856000	HLA-F	29691434
HLA-L	30229256	HLA-C	31237302
HLA-L	30227473	HLA-F	29691434
HNRNPD	83276457	HNRPDL	83346820
HOXB6	46682353	HOXB3	46626231
IDS	148582568	LOC100131434	148610904
IGKV	89197300	abParts,Ig_kappa	89156708
IREB2	78770725	CD74	149784689
KDM6A	44919267	UTY	15471647
KILLIN	89619658	DCUN1D4	52757926
LDLRAP1	25894479	C22orf45	24825667
LINC00669	37380033	OSBPL1A	21819346
LOC100132247	21890743	NPIP,LOC339047	18451950
LOC100132247	22525241	NPIP,PKD1P1	16429717
LOC554223	29760482	HLA-H	29855731
LOC728855	149576699	BC065231	145004780
LOC731275	243265045	LOC399744	38717073
LYZ	69747545	BTN2A1	26458260
METTL7A	51324509	TRMT2B	100265696
NAIP	70282272	OCLN	68830520
NBPF9,BC073801	144598779	NBPF24	146032541
NPIP	15035796	LOC613037	30234349
NPIP	15044112	PDXDC2P	70011486
OCLN	68830521	NAIP	70275696
PARL	183580484	RP1-95L4.4	143663891
PDXDC2P	70076905	LOC100132247	22535140
PDXDC2P	70076905	LOC613037	30234349
PIK3CD	9788098	PILRB	99952766
PKD1	2153267	PKD1P1	16422508
PMS2P3	75145043	PRKRIP1	102038067
PRKAA1	40764616	TTC33	40747121
PRPF3	150305157	LOC349408	12924369
RBAK	5087722	PMS2CL	6774936
RRM2	10269281	C2orf48	10281982
RRP7A	42912017	RRP7B	42973104
S100A11	152005119	HLA-C	31236911
SCNN1A	6458571	LOC100134868	26001714
SEPT7P2	45808616	PSPH	56078743
SFTA3	36960496	NKX2-1	36988673
SFTA3	36946176	TYK2	10490365
SIDT2	117066631	TAGLN	117073718
SNX27	151669151	LOC678655	6559507
SPINT2	38781215	C19orf33	38795015
SRGAP2B	143916308	SRGAP2C	121107156
SYCP2	58486805	APPL1	57306811
TCRDV1,TRD	22564896	TRDC	22919080
THUMPD3	9427607	GNL3L	54589101
TIMM23B	51387763	LINC00843	51732772
TIMM23	51606988	BMS1P4	75473090
TLK2	60637486	LOC731275	243219615
TP53RK	45313034	SLC13A3	45298777
TTC28	29075852	CHEK2	29083730
TTC28	29025540	CHEK2	29085203
TTC28	29025539	CHEK2	29091230
WHAMML1	23196162	WHAMM	83491852
ZNF18	11898875	TPRKB	73959412
ZNF664	124488087	FAM120AOS	96209979
ZNF783	148975618	LOC155060	148984656
ACAD8	134133627	GLB1L3	134145080
ACTA1	229567468	ACTG1	79477859
ADSL	40762503	SGSM3	40796701
ALK	29446394	EML4	42522656
ALK	29446393	EML4	42522655
ANKRD36BP2	89104922	ANKRD36B	98122790
ARHGAP27	43483449	SH3D20	43506989
ARIH2	48964895	HAVCR2	156513534
ARPC4	9845697	TTLL3	9852305
ATP10B	160212809	LOC285629	160362996
ATP1A2	160112945	C4BPA	207277766
BRWD1	40604103	CEP112	63685336
CDRT4	15343599	FAM18B2	15406412
CEP112	63685335	BRWD1	40604102
CLK2	155239298	CLK2P	23625797
CTBS	85028940	GNG5	84967653
CTSD	1778714	CD74	149785873
DHRS1	24761402	RABGGTA	24740514
EEF1DP3	32520318	FRY	32652971
EML4	42522655	ALK	29415639
EML4	42522656	ALK	29446394
ENO1	8926552	EDARADD	236646918
MFAP3	153569748	GALNT10	153674375
IGLV1-44	22735713	IGLL5	23235961
IGLV1-36	22786800	IGLL5	23235961
IGLV3-21	23055681	IGLL5	23235961
IGLV2-14	23101696	IGLL5	23235961
ERI2	20814992	ZNF737	20721147
FGFR2	123357786	LRCH4	100175465
FLJ39739	147931979	BC065231	145004780
GNG5	84967653	CTBS	85028940
HLA-A	29913036	HLA-B	31322277
